"sous_groupe";"id_aliment";"nom";"calories_kcal_100g";"proteines_g_100g";"glucides_g_100g";"lipides_g_100g";"sucres_g_100g";"ag_satures_g_100g";"fibres_g_100g";"sel_g_100g";"sodium_mg_100g";"calcium_mg_100g";"fer_mg_100g";"magnesium_mg_100g";"potassium_mg_100g";"zinc_mg_100g";"vitamine_d_µg_100g";"vitamine_e_mg_100g";"vitamine_b1_mg_100g";"vitamine_b2_mg_100g";"vitamine_b3_mg_100g";"vitamine_b5_mg_100g";"vitamine_b12_µg_100g";"eau_g_100g"
"boisson alcoolisées";"1000";"Pastis";"274";"0";"2.86";"0";"0";"0";"0";"0";"0";"0";"0";"0";"2";"0.02";"0";"0";"0";"0";"0";"0";"0";"59.7"
"boisson alcoolisées";"1001";"Eau de vie de fruits";"233";"0";"0.63";"0";"0";"0";"0";"0.0035";"1.39";"1";"0.04";"0";"1.44";"0.019";"0";"0";"0";"0";"0";"0";"0";"66.4"
"boisson alcoolisées";"1002";"Gin";"265";"0";"0";"0";"0";"0";"0";"0.005";"2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"62.1"
"boisson alcoolisées";"1003";"Liqueur";"225";"0.1";"25.4";"0.23";"17.4";"0.11";"0";"0.02";"8";"1";"0.06";"3";"30";"0.03";"0";"0";"0.004";"0.012";"0.14";"0";"0";"55.8"
"boisson alcoolisées";"1004";"Rhum";"234";"0";"0";"0";"0";"0";"0";"0.0025";"1";"0";"0.12";"0";"2";"0.07";"0";"0";"0.008";"0";"0";"0";"0";"66.6"
"boisson alcoolisées";"1005";"Whisky";"252";"0";"0.096";"0";"0.096";"0";"0";"0";"0";"0";"0.02";"0";"1";"0.02";"0";"0";"0.008";"0.001";"0.05";"0";"0";"63.9"
"boisson alcoolisées";"1006";"Vin doux";"148";"0.2";"9.96";"0";"7.78";"0";"0";"0.023";"9";"8";"0.24";"9";"92";"0.07";"0";"0";"0.018";"0.018";"0.21";"0.032";"0";"70.5"
"boisson alcoolisées";"1007";"Apéritif à base de vin ou vermouth";"137";"0.054";"11.3";"0";"11.1";"0";"0";"0.038";"15";"7.37";"0.44";"7";"48";"0.035";"0";"0";"0";"0";"0.045";"0";"0.0033";"75.3"
"boisson alcoolisées";"1008";"Vodka";"250";"0";"0";"0";"0";"0";"0";"0.0025";"1";"0";"0.025";"0";"1.5";"0.04";"0";"0";"0.0055";"0.0055";"0.013";"0";"0";"64.4"
"boisson alcoolisées";"1010";"Pastis, prêt à boire (1+ 5)";"0";"0";"0.5";"0";"0";"0";"0";"0.0063";"1.99";"0";"0.039";"0.82";"0";"0.013";"0";"0";"0";"0";"0";"0";"0";"93.1"
"boisson alcoolisées";"1011";"Apéritif anisé sans alcool, à diluer";"6";"0";"1";"0";"0.03";"0";"1";"0.038";"15";"1.83";"0";"0.33";"3.9";"0.03";"0";"0";"0";"0";"0";"0";"0";"0"
"boisson alcoolisées";"1012";"Cocktail à base de rhum";"121";"0";"7.74";"2.19";"7.74";"1.64";"0.3";"0.015";"6";"8";"0.21";"8";"71";"0.13";"0";"0";"0.029";"0.017";"0.12";"0.061";"0";"82.7"
"boisson alcoolisées";"1013";"Cocktail à base de whisky";"166";"0";"15.8";"0.02";"15.8";"0.003";"0";"0.12";"47";"46";"0.08";"3";"4";"0.04";"0";"0";"0.003";"0.002";"0.005";"0.01";"0";"69.2"
"boisson alcoolisées";"1014";"Alcool pur";"660";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"boisson alcoolisées";"1015";"Marsala";"211";"0.1";"27.9";"0";"27.9";"0";"0";"0.01";"4";"4";"0.4";"0";"97";"0";"0";"0";"0";"0.01";"0.1";"0";"0";"57.7"
"boisson alcoolisées";"1016";"Marsala aux oeufs";"153";"0";"12.4";"0";"12.4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"boisson alcoolisées";"1017";"Sangria, faite maison";"88.7";"0";"11";"0.05";"9.5";"0";"0";"0.0075";"3";"9.35";"0.37";"10.7";"123";"0.07";"0";"0.14";"0.023";"0.022";"0.18";"0.11";"0";"83"
"boisson alcoolisées";"1018";"Kir (vin blanc, crème de cassis)";"74.7";"0.18";"3.3";"0";"3.3";"0";"0";"0.0039";"1.56";"6.88";"0.67";"5.09";"108";"0.082";"0";"0.14";"0.0068";"0.019";"0.12";"0.082";"0";"83.5"
"boisson alcoolisées";"1019";"Kir royal (champagne, crème de cassis)";"87.3";"0.25";"5.66";"0";"5.66";"0";"0";"0.0039";"1.56";"6.88";"0.56";"5.09";"91.4";"0.082";"0";"0.14";"0.0027";"0.015";"0.12";"0.067";"0";"82.5"
"boisson alcoolisées";"1021";"Crème de cassis";"245";"0";"41";"0";"40.9";"0";"0";"0";"0";"16.6";"0.62";"8.44";"128";"0.12";"0";"0.52";"0.015";"0.015";"0.11";"0.15";"0";"47.1"
"boisson alcoolisées";"1022";"Cocktail type punch, 16% alcool, préemballé";"159";"0.6";"17.8";"0.6";"17.8";"0.00024";"0.5";"0.042";"16.7";"13";"0.06";"3.1";"43";"0.26";"0";"0";"0.021";"0.01";"0.16";"0.053";"0.077";"0"
"boisson alcoolisées";"1023";"Eau de vie de vin type armagnac ou cognac";"222";"0";"0.76";"0";"0";"0";"0";"0.0019";"0.75";"0";"0";"0";"2";"0.011";"0";"0";"0";"0";"0";"0";"0";"67.9"
"boisson alcoolisées";"1024";"Eau de vie type calvados";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"boisson alcoolisées";"1026";"Saké ou alcool de riz";"113";"0";"0";"0";"0";"0";"0";"0.005";"2";"5";"0.1";"6";"25";"0.02";"0";"0";"0";"0";"0";"0";"0";"78.4"
"fromages et alternatives végétales";"1027";"Spécialité végétale type fromage à tartiner, au soja, préemballée";"174";"11.7";"1.05";"13.1";"0";"1.87";"0.5";"1.15";"459";"32";"1.3";"32";"170";"1";"0.25";"0";"0.052";"0.047";"0.16";"0.2";"0";"71.9"
"fromages et alternatives végétales";"1028";"Spécialité végétale type fromage, à la noix de cajou, préemballée";"441";"14.5";"15.2";"35.3";"0.28";"5.78";"2.6";"0.88";"351";"51";"3.9";"120";"290";"3.4";"0.25";"0";"0.3";"0.07";"0.52";"0.42";"0";"29.5"
"fromages et alternatives végétales";"1029";"Spécialité végétale type fromage en tranche ou râpé, sans soja, préemballée";"271";"0.25";"21.2";"20.1";"0.25";"17.4";"2.3";"1.88";"751";"46";"0.15";"5.2";"34";"0.1";"0.25";"0";"0.015";"0.01";"0.1";"0.059";"0";"54.1"
"charcuteries et alternatives végétales";"1030";"Fines tranches végétales, préemballées";"242";"29.7";"4.13";"11.1";"0.93";"0.89";"3.2";"1.62";"646";"32";"1.4";"24";"100";"1.8";"0.25";"0";"0.088";"0.098";"0.9";"0.4";"0";"50.2"
"charcuteries et alternatives végétales";"1031";"Spécialité végétale type pâté, préemballée";"197";"3.56";"9.45";"15.4";"1.49";"4.13";"2.96";"1.27";"509";"30";"1.3";"23";"170";"0.96";"0.25";"0";"0.05";"0.096";"1.31";"0.35";"0";"66.7"
"autres produits à base de viande";"1032";"Haché à base de boeuf et soja, préemballé";"214";"15";"2.48";"14.6";"0.7";"6.29";"4.5";"0.83";"330";"26.3";"1.8";"29.9";"315";"2.9";"0";"0";"0.09";"0.1";"2.49";"0.28";"1";"63.7"
"plats composés";"1033";"Nuggets ou croquette panée de poulet (contenant du soja), préemballé";"220";"13.4";"16.7";"10.3";"1.74";"1.8";"2";"1.36";"545";"23.6";"0.84";"27.6";"249";"0.65";"0";"0";"0.09";"0.05";"3.22";"0.47";"0.1";"57.6"
"autres produits à base de viande";"1034";"Saucisse de volaille type knack (contenant du soja), préemballée";"208";"12.1";"2.72";"15.8";"0.64";"4.75";"1.1";"2.84";"1140";"61.1";"1.3";"15.2";"189";"1.6";"0";"0";"0.05";"0.09";"2.95";"0.4";"0.62";"63.7"
"boissons sans alcool";"2000";"Jus d'ananas, à base de concentré";"52.3";"0.41";"11.9";"0.096";"11.9";"0.044";"0.18";"0.011";"4.62";"14.3";"0.15";"17";"144";"0.066";"0";"0";"0.058";"0.021";"0.2";"0.056";"0";"87.1"
"boissons sans alcool";"2002";"Jus multifruit, pur jus, multivitaminé";"48.4";"0.48";"11.3";"0.1";"11";"0";"0.25";"0.0038";"1.5";"9.6";"0.12";"9.98";"171";"0.036";"0.5";"2";"0.24";"0.32";"0.29";"0.095";"0";"86.5"
"boissons sans alcool";"2004";"Jus de fruits (aliment moyen)";"46.8";"0.53";"10.2";"0.13";"9.98";"0.04";"0.28";"0.012";"5.01";"4.31";"0.11";"9.53";"155";"0.04";"0.00005";"0";"0.069";"0.027";"0.32";"0.21";"0";"88.2"
"boissons sans alcool";"2006";"Jus de carotte, pur jus";"29.4";"0.4";"6.55";"0.1";"5.95";"0.037";"0.33";"0.1";"42.5";"13.6";"0.46";"8.75";"210";"0.086";"0";"0";"0.092";"0.055";"0.39";"0.23";"0";"88.9"
"boissons sans alcool";"2007";"Jus de citron, fait maison";"28.6";"0.35";"2.52";"0.24";"2.52";"0.04";"0.3";"0.0065";"2.62";"12.4";"0.08";"5.99";"103";"0.049";"0";"0";"0.024";"0.015";"0.091";"0.13";"0";"92.3"
"boisson alcoolisées";"2008";"Cocktail ou boisson apéritive sans alcool à base de jus de fruits et de sirop";"46";"0.42";"10.9";"0";"10.8";"0";"0.36";"0.0056";"2.24";"12.8";"0.1";"8.31";"132";"0.034";"0";"0.2";"0.046";"0.019";"0.18";"0.11";"0";"86.4"
"boissons sans alcool";"2009";"Nectar multifruit, base pomme, standard";"41.1";"0.28";"10";"0.1";"10";"0";"0";"0";"0";"0";"0";"4.7";"78.5";"0";"0";"0";"0";"0";"0.27";"0";"0";"88.7"
"boissons sans alcool";"2010";"Nectar multifruit, base pomme, multivitaminé";"36.4";"0.05";"9.1";"0.1";"9.1";"0";"0";"0";"0";"0";"0";"4.4";"43.2";"0";"0";"0";"0";"0";"0.28";"0";"0";"88.7"
"boissons sans alcool";"2011";"Jus multifruit, base orange, multivitaminé";"45.5";"0.25";"11.3";"0.8";"11.1";"0";"0.5";"0.008";"3.2";"11";"0.1";"8.7";"150";"0.05";"0";"0";"0.34";"0.077";"4.76";"1.19";"1";"87.6"
"boissons sans alcool";"2012";"Jus d'orange, à base de concentré";"45.6";"0.63";"9.59";"0.13";"9.59";"0.034";"0.25";"0.0084";"3.44";"7.25";"0.08";"10.9";"154";"0.022";"0";"0";"0.08";"0.039";"0.3";"0.24";"0";"89.7"
"boissons sans alcool";"2013";"Jus d'orange, frais";"44.8";"0.7";"9.19";"0.2";"8.4";"0.024";"0.2";"0.0028";"1.11";"10.5";"0.079";"13.2";"200";"0.027";"0";"0";"0.09";"0.03";"0.4";"0.19";"0";"88.3"
"boissons sans alcool";"2014";"Jus de pomme, à base de concentré";"48.5";"0.24";"11.3";"0.098";"10.8";"0.033";"0.3";"0.014";"3.98";"6.45";"0.085";"7.07";"128";"0.01";"0";"0";"0.014";"0.017";"0.16";"0.062";"0";"88.5"
"boissons sans alcool";"2015";"Jus de pamplemousse (pomélo), à base de concentré";"40.9";"0.52";"8.41";"0.1";"8.41";"0.074";"0.21";"0.01";"3.97";"10.6";"0.2";"7.91";"115";"0.037";"0";"0";"0.042";"0.02";"0.055";"0.13";"0";"89.9"
"boissons sans alcool";"2016";"Jus de raisin, pur jus";"69.2";"0.25";"16.3";"0.057";"16";"0.031";"0.14";"0.0089";"3.81";"8.29";"0.47";"8.35";"114";"0.056";"0";"0";"0.017";"0.015";"0.29";"0.048";"0";"82.4"
"boissons sans alcool";"2017";"Jus de grenade, pur jus";"54";"0.15";"12.7";"0.29";"12.7";"0.077";"0.1";"0.023";"9";"11";"0.1";"7";"214";"0.09";"0";"0";"0.015";"0.015";"0.23";"0.29";"0";"86"
"boissons sans alcool";"2018";"Jus de pruneau";"77.4";"0.37";"18.7";"0.039";"13.5";"0.003";"0.45";"0.025";"10";"12";"1.18";"14";"276";"0.21";"0";"0";"0.016";"0.07";"0.79";"0.11";"0";"81.2"
"boissons sans alcool";"2019";"Jus de raisin, à base de concentré";"67.1";"0.31";"16";"0.11";"16";"0.055";"0.15";"0.0074";"2.83";"16";"0.43";"7.8";"62";"0.05";"0";"0.67";"0.046";"0.021";"0.23";"0.063";"0";"84.2"
"boissons sans alcool";"2022";"Nectar de fraise";"47.5";"0.3";"11.3";"0.1";"11";"0";"0.1";"0.005";"2";"12.3";"0.25";"8.14";"102";"0.06";"0";"0";"0";"0";"0";"0";"0";"87.1"
"boissons sans alcool";"2023";"Jus de mangue, frais";"38.8";"0.19";"9.5";"0";"9.3";"0";"0";"0.028";"0";"0";"0";"14.3";"0";"0.02";"0";"1.05";"0.01";"0";"0";"0.14";"0";"86"
"boissons sans alcool";"2024";"Jus de fruit de la passion ou maracudja, frais";"61.7";"0.67";"14.3";"0.18";"14.3";"0.015";"0.2";"0.015";"6";"4";"0.36";"17";"278";"0.06";"0";"0";"0";"0.1";"2.24";"0";"0";"84.2"
"boissons sans alcool";"2025";"Jus de pamplemousse (pomélo), frais";"43.7";"0.5";"9.1";"0.1";"9.1";"0.014";"0.1";"0.0025";"1";"9";"0.2";"12";"162";"0.05";"0";"0";"0.04";"0.02";"0.2";"0.19";"0";"90"
"boissons sans alcool";"2026";"Jus de tomate, pur jus, salé à 3 g/L";"23.2";"0.88";"4.13";"0.17";"4.13";"0";"0.23";"0.3";"119";"7.98";"0";"12.5";"263";"0";"0";"0";"0";"0";"0";"0";"0";"94.3"
"boissons sans alcool";"2027";"Jus de pamplemousse (pomelo), pur jus";"42.5";"0.49";"8.89";"0.083";"8.89";"0.044";"0.15";"0.008";"3.05";"4.83";"0.15";"8.63";"128";"0.1";"0";"0.19";"0.043";"0.017";"0.12";"0.13";"0";"89.9"
"boissons sans alcool";"2028";"Jus de citron, pur jus";"29.4";"0.4";"6.1";"0.29";"2.4";"0.038";"0.4";"0.053";"21";"11";"0.13";"8";"102";"0.06";"0";"0";"0.041";"0.009";"0.2";"0.091";"0";"92.5"
"boissons sans alcool";"2030";"Jus de citron vert, frais";"9.87";"0.42";"1.69";"0.07";"1.69";"0.008";"0.4";"0.005";"2";"14";"0.09";"8";"117";"0.08";"0";"0";"0.025";"0.015";"0.14";"0.12";"0";"90.8"
"boissons sans alcool";"2031";"Jus de citron vert, pur jus";"25.7";"0.25";"1.69";"0.23";"1.69";"0.026";"0.45";"0.026";"10.5";"12";"0.23";"7";"75";"0.06";"0";"0";"0.033";"0.003";"0.16";"0.066";"0";"92.5"
"boissons sans alcool";"2032";"Jus de tomate, pur jus, salé à 6 g/L";"20.1";"0.88";"3.32";"0.11";"3.3";"0.07";"0.56";"0.6";"231";"5.1";"0.42";"13.7";"302";"0.18";"0";"0";"0.041";"0.028";"0.68";"0.25";"0";"93.7"
"boissons sans alcool";"2033";"Jus multifruit, à base de jus et purée de fruits";"49.1";"0.46";"11.5";"0.11";"11.3";"0.026";"0.21";"0.01";"3.99";"0";"0";"0";"0";"0";"0";"1.12";"0.13";"0.13";"1.45";"0.52";"0";"0"
"boissons sans alcool";"2034";"Jus de clémentine ou mandarine, pur jus";"46.7";"0.66";"10.4";"0.14";"10";"0.043";"0.15";"0.0094";"3.79";"2.8";"0.3";"9.3";"123";"0.1";"0";"0.09";"0.077";"0.018";"0.25";"0.13";"0";"88"
"boissons sans alcool";"2035";"Jus multifruit, pur jus, standard";"46.5";"0.25";"11.2";"0.3";"10.1";"0.01";"0.5";"0.0023";"0.92";"5.4";"0.08";"7";"140";"0.05";"0";"0";"0.015";"0.01";"0.17";"0.099";"0";"87.3"
"boissons sans alcool";"2036";"Jus multifruit, base raisin, standard";"54.6";"0.5";"13";"0";"13";"0";"0.3";"0.0025";"1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"boissons sans alcool";"2038";"Jus multifruit, base orange, standard";"46.8";"0.7";"10.4";"0.16";"10.1";"0.05";"0.44";"0.069";"1.55";"0";"0";"11.9";"152";"0";"0";"0";"0";"0";"0.2";"0";"0";"88.6"
"boissons sans alcool";"2039";"Jus de grenade, frais";"47.2";"0.2";"11.6";"0";"11.6";"0";"0";"0.0025";"1";"3";"0.2";"0";"200";"0.1";"0";"0.55";"0.02";"0.03";"0.2";"0";"0";"85.4"
"boissons sans alcool";"2040";"Jus de cerise des Antilles ou d'acérola, frais";"22.9";"0.4";"4.5";"0.3";"4.5";"0.068";"0.3";"0.0075";"3";"10";"0.5";"12";"97";"0.1";"0";"0";"0.02";"0.06";"0.4";"0.21";"0";"94.3"
"boissons sans alcool";"2043";"Nectar d'abricot";"58.6";"0.21";"13.7";"0.03";"11";"0.005";"0.08";"0.0042";"1.68";"11.5";"0.38";"5.28";"114";"0.05";"0";"0";"0.009";"0.014";"0.26";"0.096";"0";"84.9"
"boissons sans alcool";"2045";"Nectar de papaye";"58.9";"0.17";"13.9";"0.15";"13.9";"0.047";"0.6";"0.013";"5";"10";"0.34";"3";"31";"0.15";"0";"0";"0.006";"0.004";"0.15";"0.054";"0";"85"
"boissons sans alcool";"2048";"Jus multifruit, base pomme, standard";"49.9";"0.33";"12.2";"0.1";"10.1";"0";"0.5";"0";"0";"0";"0";"5.94";"99.1";"0";"0";"0";"0";"0";"0.38";"0";"0";"87.8"
"boissons sans alcool";"2050";"Jus multifruit, base pomme, multivitaminé";"41.9";"0.33";"10.1";"0.1";"10.1";"0";"0.5";"0";"0";"0";"0";"5.9";"69.5";"0";"0";"0";"0";"0";"0.36";"0";"0";"88.2"
"boissons sans alcool";"2052";"Jus de fruit(s) et de légume(s), pur jus";"42.8";"0.85";"9.5";"0";"8.6";"0";"0.7";"0";"0.1";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"boissons sans alcool";"2053";"Jus de tomate, pur jus (aliment moyen)";"21.7";"0.88";"3.73";"0.14";"3.72";"0.035";"0.4";"0.45";"175";"6.54";"0";"13.1";"283";"0";"0";"0";"0";"0";"0";"0";"0";"94"
"boissons sans alcool";"2054";"Nectar de poire";"62.5";"0.19";"14.8";"0.043";"11.4";"0.001";"0.45";"0.0033";"1.3";"5";"0.26";"3";"13";"0.07";"0";"0";"0.002";"0.013";"0.13";"0.022";"0";"84"
"boissons sans alcool";"2060";"Nectar multifruit, multivitaminé";"47.2";"0.24";"11.3";"0.1";"10.9";"0.0067";"0.15";"0.016";"6.36";"3.1";"0.2";"5.4";"79.1";"0.1";"0.5";"1.05";"0.14";"0.2";"1.63";"0.62";"0";"87.4"
"boissons sans alcool";"2061";"Nectar multifruit, standard";"49.7";"0.3";"11.5";"0.089";"11";"0.013";"0.3";"0.009";"3.43";"9.17";"0";"5.35";"87.4";"0";"0";"0.97";"0.095";"0.025";"1.09";"0.6";"0";"87.2"
"boissons sans alcool";"2062";"Nectar multifruit, base orange, multivitaminé";"42.6";"0.4";"10.3";"0.1";"10.3";"0";"0.5";"0";"0";"0";"0";"6.3";"85.7";"0";"0";"0";"0";"0";"1.64";"0";"0";"88.1"
"boissons sans alcool";"2063";"Nectar multifruit, base orange, standard";"50.2";"0.25";"11.9";"0.1";"11.4";"0.05";"0.33";"0.019";"6.25";"0";"0";"6.7";"86.8";"0";"0";"0";"0";"0";"0.21";"0";"0";"87.4"
"boissons sans alcool";"2064";"Nectar, avec édulcorants, allégé en sucres";"23.2";"0.17";"5.49";"0.037";"5.23";"0.0067";"0.11";"0.01";"4.13";"0";"0";"0";"0";"0";"0";"1.5";"0.21";"0.24";"2.7";"0.9";"0";"0"
"boissons sans alcool";"2069";"Jus multifruit, à base de concentré, standard";"49.6";"0.52";"11.2";"0.15";"10.8";"0.021";"0.62";"0.02";"8.57";"11.1";"0.1";"8.2";"148";"0.05";"0";"0.53";"0.11";"0.08";"0.93";"0.31";"0";"87.8"
"boissons sans alcool";"2070";"Jus d'orange, pur jus";"45.4";"0.61";"9.61";"0.11";"9.61";"0.053";"0.28";"0.012";"4.81";"0.41";"0.068";"10";"165";"0.045";"0";"0";"0.08";"0.021";"0.3";"0.24";"0";"88.2"
"boissons sans alcool";"2071";"Jus multifruit, à base de concentré, multivitaminé";"45.5";"0.29";"10.8";"0.091";"10.3";"0.051";"0.27";"0.019";"7.5";"0";"0";"0";"0";"0";"0";"2.15";"0.3";"0.36";"3.84";"1.28";"0";"0"
"boissons sans alcool";"2072";"Jus de fruits, pur jus (aliment moyen)";"46.6";"0.51";"10.2";"0.11";"10";"0.046";"0.26";"0.013";"5.45";"1.81";"0.11";"9.05";"154";"0.045";"0.00005";"0";"0.062";"0.017";"0.25";"0.19";"0";"87.9"
"boissons sans alcool";"2073";"Jus d'ananas, pur jus";"52.9";"0.41";"12.1";"0.074";"12.1";"0.031";"0.22";"0.013";"5.2";"8.08";"0.18";"13.6";"134";"0.073";"0";"0.02";"0.055";"0.02";"0.3";"0.15";"0";"86.3"
"boissons sans alcool";"2074";"Jus de pomme, pur jus";"48.9";"0.17";"11.4";"0.14";"10.9";"0.046";"0.23";"0.022";"13.3";"4.32";"0.3";"4.56";"113";"0.1";"0";"0";"0.013";"0.01";"0.043";"0.045";"0";"88.4"
"boissons sans alcool";"2075";"Jus de légumes, pur jus (aliment moyen)";"24.3";"0.72";"4.69";"0.13";"4.48";"0.036";"0.37";"0.33";"130";"8.94";"0.44";"11.6";"258";"0.13";"0";"0";"0.067";"0.042";"0.53";"0.24";"0";"92.2"
"boissons sans alcool";"2076";"Nectar de pomme";"44.9";"0.14";"10.9";"0.075";"10.6";"0.05";"0.1";"0.01";"4";"4.9";"0";"3.94";"64.9";"0";"0";"0";"0";"0";"0.08";"0";"0";"90.2"
"boissons sans alcool";"2077";"Jus de fruits, à base de concentré (aliment moyen)";"47.6";"0.55";"10.4";"0.13";"10.2";"0.031";"0.36";"0.012";"5.03";"8.7";"0.095";"9.86";"148";"0.031";"0";"0";"0.081";"0.048";"0.47";"0.24";"0";"88.8"
"boissons sans alcool";"2365";"Nectar de fruit de la passion ou maracuja";"68";"0.3";"15.2";"0.1";"13";"0";"0";"0.025";"3";"1.7";"0";"3.8";"72.8";"0.02";"0";"0";"0";"0";"0";"0.05";"0";"85.5"
"boissons sans alcool";"2366";"Nectar de banane";"53.8";"0.23";"12.8";"0.048";"12.6";"0.03";"0.51";"0.0046";"1.82";"5.8";"0.07";"8";"91";"0.05";"0";"0";"0.013";"0.01";"1.24";"0.053";"0";"86.7"
"boissons sans alcool";"2367";"Nectar de goyave";"48";"0.14";"10.9";"0.23";"10.2";"0.01";"0.15";"0.0026";"1.05";"7.8";"0.07";"2.6";"61";"0.05";"0";"0";"0.011";"0.01";"1.39";"0.034";"0";"88"
"boissons sans alcool";"2370";"Nectar de mangue";"52.1";"0.21";"11.3";"0.08";"11.3";"0.043";"0.16";"0.005";"2.02";"8.1";"0.08";"3.7";"39";"0.05";"0";"0";"0.024";"0.011";"2.1";"0.17";"0";"87"
"boissons sans alcool";"2371";"Nectar de pêche";"50.3";"0.22";"12.1";"0.05";"11.9";"0.002";"0.33";"0.011";"4.37";"5";"0.19";"4";"40";"0.08";"0";"0";"0.003";"0.014";"0.29";"0.068";"0";"85.6"
"boissons sans alcool";"2374";"Nectar d'ananas";"52.4";"0.1";"13";"0";"11.2";"0";"0";"0";"0";"13";"0";"8";"90";"0";"0";"0";"0.02";"0.01";"0";"0";"0";"88.1"
"boissons sans alcool";"2375";"Nectar d'orange";"41.6";"0.32";"9.19";"0.086";"9.19";"0.0067";"0.2";"0.018";"6.92";"7.69";"0";"5.96";"82.8";"0.041";"0";"0";"0.04";"0.01";"0.17";"0";"0";"89.7"
"boissons sans alcool";"2377";"Jus d'orange sanguine, pur jus";"45.6";"0.63";"10.2";"0.1";"9.75";"0.043";"0.68";"0.01";"4";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
"boissons sans alcool";"2381";"Jus de canneberge ou cranberry";"49.8";"0";"12.1";"0.13";"12.1";"0.01";"0.1";"0.005";"2";"8";"0.25";"6";"77";"0.1";"0";"0";"0.009";"0.018";"0.091";"0";"0";"87.1"
"boissons sans alcool";"2500";"Smoothie, sans précision sur la teneur en fruits et les ingrédients autres que fruits";"60.2";"0.62";"12.9";"0.26";"11.7";"0.17";"1.08";"0.01";"3.84";"9.65";"0.24";"11.5";"165";"0.07";"0";"0";"0.059";"0.012";"0.2";"0.079";"0";"84.2"
"laits et boissons infantiles";"3000";"Lait 1er âge, poudre soluble (préparation pour nourrissons)";"496";"10.9";"55";"25.3";"38.7";"0";"2.48";"0.55";"219";"541";"6.81";"56.2";"696";"3.87";"8.11";"8.89";"0.47";"0.87";"4.75";"0";"1.37";"1.17"
"laits et boissons infantiles";"3002";"Lait 2e âge, poudre soluble (préparation de suite)";"484";"11.6";"56.3";"23.2";"36.4";"0";"2.14";"0.46";"184";"503";"7.02";"51.2";"0";"4.75";"8.59";"9.15";"0.54";"0.94";"4.75";"0";"1.42";"0"
"pommes de terre et autres tubercules";"4000";"Tapioca ou perles du Japon, cru";"354";"0.19";"87.8";"0.02";"3.35";"0.005";"0.9";"0.0025";"1";"20";"1.58";"1";"11";"0.12";"0";"0";"0.004";"0";"0";"0.14";"0";"11"
"pommes de terre et autres tubercules";"4002";"Pomme de terre, sans peau, rôtie/cuite au four";"91.9";"1.96";"20.1";"0.1";"1.7";"0.026";"1.5";"0.0036";"1.43";"9.48";"0.35";"21.7";"391";"0.24";"0";"0";"0.11";"0.021";"1.4";"0.56";"0";"75.4"
"pommes de terre et autres tubercules";"4003";"Pomme de terre, bouillie/cuite à l'eau";"81";"1.8";"16.8";"0.34";"0.86";"0.094";"1.8";"0.051";"20.6";"5.83";"0.27";"17.3";"363";"0.15";"0";"0";"0.079";"0.04";"1.73";"0.57";"0";"78.3"
"pommes de terre et autres tubercules";"4004";"Chips de pommes de terre nature ou aromatisées";"532";"6";"51";"32.7";"1.49";"2.92";"4.7";"1.35";"652";"27";"1.2";"66";"1300";"0.82";"0.5";"0";"0.13";"0.014";"19.4";"0.85";"0";"1.4"
"pommes de terre et autres tubercules";"4007";"Pomme de terre nouvelle ou primeur, bouillie/cuite à l'eau";"71.6";"1.44";"15";"0.3";"1";"0";"1.6";"0.025";"10";"13";"1.6";"18";"430";"0.3";"0";"0.06";"0.09";"0.06";"0.4";"0.38";"0";"81.1"
"pommes de terre et autres tubercules";"4008";"Pomme de terre, sans peau, crue";"80";"2.02";"16.2";"0.09";"0.78";"0.026";"2.2";"0.0011";"0.44";"14.3";"0.78";"22";"421";"0.35";"0";"0";"0.08";"0.032";"1.05";"0.3";"0";"79.3"
"pommes de terre et autres tubercules";"4011";"Pomme de terre, appertisée, égouttée";"57.2";"1.58";"10.7";"0.41";"0.65";"0.054";"2.15";"0.15";"60.6";"25.4";"1.26";"9.4";"229";"0.18";"0";"0";"0.068";"0.013";"0.92";"0.35";"0";"84.3"
"pommes de terre et autres tubercules";"4013";"Pomme de terre noisette, surgelée, à cuire";"179";"2.44";"25.3";"7.02";"0.56";"1.07";"2.42";"0.95";"373";"25.2";"1";"27.9";"550";"0.58";"0";"0.2";"0.13";"0.03";"2.2";"0.5";"0";"61"
"pommes de terre et autres tubercules";"4014";"Pomme de terre vapeur, sous vide";"76";"1.84";"15.8";"0.25";"0.5";"0.039";"2.02";"0.14";"96.2";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0";"0"
