"sous_groupe";"id_aliment";"nom";"calories_kcal_100g";"proteines_g_100g";"glucides_g_100g";"lipides_g_100g";"sucres_g_100g";"ag_satures_g_100g";"fibres_g_100g";"sel_g_100g";"sodium_mg_100g";"calcium_mg_100g";"fer_mg_100g";"magnesium_mg_100g";"potassium_mg_100g";"zinc_mg_100g";"vitamine_d_µg_100g";"vitamine_e_mg_100g";"vitamine_b1_mg_100g";"vitamine_b2_mg_100g";"vitamine_b3_mg_100g";"vitamine_b5_mg_100g";"vitamine_b12_µg_100g";"eau_g_100g"
"condiments";"11021";"Moutarde à l'ancienne";"142";"6.6";"2.2";"9.9";"2.2";"0.61";"4.5";"4.9";"1960";"110";"1.7";"95";"200";"1.1";"0.25";"0";"0.22";"0.044";"0.94";"0.21";"0";"67.8"
"herbes";"11023";"Ail séché, poudre";"346";"16.6";"63.7";"0.73";"2.43";"0.25";"9";"0.15";"60";"79";"5.65";"77";"1190";"2.99";"0";"0";"0.44";"0.14";"0.8";"0.74";"0";"6.45"
"herbes";"11024";"Persil, séché";"291";"29";"16.8";"5.34";"7.27";"1.38";"29.7";"1.05";"422";"658";"38";"386";"4490";"5.78";"0";"0";"0.62";"2.32";"10.2";"1.79";"0";"3.95"
"épices";"11025";"Cannelle, poudre";"243";"3.99";"27.5";"1.24";"2.17";"0.35";"53.1";"0.025";"10";"1000";"8.32";"60";"431";"1.83";"0";"0";"0.022";"0.041";"1.33";"0.36";"0";"10.6"
"épices";"11026";"Coriandre, graine";"345";"12.4";"13";"17.8";"0";"0.99";"41.9";"0.088";"35";"709";"16.3";"330";"1270";"4.7";"0";"0";"0.24";"0.29";"2.13";"0";"0";"8.86"
"herbes";"11027";"Menthe, fraîche";"57.6";"3.52";"5.3";"0.84";"5.3";"0.22";"7.4";"0.076";"30.5";"221";"8.48";"71.5";"514";"1.1";"0";"5";"0.08";"0.22";"1.33";"0.29";"0";"82.1"
"herbes";"11029";"Menthe, séchée";"283";"19.9";"22.2";"6.03";"0";"1.58";"29.8";"0.86";"344";"1490";"87.5";"602";"1920";"2.41";"0";"0";"0.29";"1.42";"6.56";"1.4";"0";"11.3"
"herbes";"11032";"Basilic, séché";"244";"23";"10.1";"4.07";"1.71";"2.16";"37.7";"0.19";"76";"2240";"89.8";"711";"2630";"7.1";"0";"0";"0.08";"1.2";"4.9";"0.84";"0";"10.4"
"herbes";"11033";"Basilic, frais";"35.2";"3.15";"3.4";"0.64";"0.3";"0.041";"1.6";"0.01";"4";"177";"3.17";"64";"295";"0.81";"0";"0";"0.034";"0.076";"0.9";"0.21";"0";"92.1"
"herbes";"11034";"Marjolaine, séchée";"276";"12.7";"20.3";"7.04";"4.09";"0.53";"40.3";"0.19";"77";"1990";"82.7";"346";"1520";"3.6";"0";"0";"0.29";"0.32";"4.12";"0";"0";"7.64"
"herbes";"11035";"Origan, séché";"265";"9";"26.4";"4.28";"4.09";"1.55";"42.5";"0.063";"25";"1600";"36.8";"270";"1260";"2.69";"0";"0";"0.18";"0.53";"4.64";"0.92";"0";"9.93"
